"DF.L1.C1","label"
-0.55819050502404,"2"
-0.597865318466863,"2"
-0.714150196469165,"2"
-0.184213541998975,"1"
-0.483878405334969,"2"
-0.380565145318456,"2"
-0.195285300435139,"2"
-0.162793905988056,"2"
-0.40183457556407,"2"
-0.241218120974442,"2"
0.00634793735267525,"1"
-0.185467508166747,"1"
-0.291361592176056,"1"
-0.353517297967083,"2"
-0.0635764454982037,"1"
-0.210652139728951,"1"
-0.0509644208310882,"2"
-0.0586945512401114,"1"
-0.00868025603807809,"1"
0.100405997268591,"1"
0.106528409094332,"2"
0.0751169814388029,"1"
0.0469681772070043,"1"
0.0256584117584248,"2"
-0.181620800220362,"2"
-0.121268505786952,"2"
0.061066167967021,"1"
-0.312314845696086,"2"
-0.354700251337416,"1"
-0.0862106387296853,"2"
-0.348338841466575,"2"
-0.34629424129561,"2"
-0.162245089624135,"1"
-0.283575621735258,"1"
-0.329102127555944,"1"
-0.171314060842268,"2"
-0.10307599168588,"1"
0.204599936411261,"2"
-0.0936041386964144,"1"
-0.171499681737728,"2"
-0.23095410693271,"1"
-0.369885865067984,"1"
-0.182523846826642,"2"
-0.288245843710595,"1"
-0.150287447474531,"1"
-0.421615227133964,"2"
-0.338264653722822,"2"
-0.130461136840979,"1"
-0.28054786167365,"1"
-0.239407159797541,"2"
-0.342694772332369,"2"
-0.458440844729912,"1"
-0.39921936551055,"2"
-0.30007727755806,"1"
-0.253389306947693,"2"
-0.446088624840045,"1"
-0.340345683760645,"2"
-0.44703999760247,"2"
-0.415022424922776,"2"
-0.551798763911518,"2"
-0.489087588444932,"1"
-0.47019114010622,"1"
-0.310341491867824,"2"
-0.348596330938725,"2"
-0.405413384021826,"1"
-0.121218317518997,"1"
-0.354339502763983,"2"
-0.038724913278948,"1"
-0.045493518586416,"2"
0.0816081227374275,"1"
-0.0857732859117291,"2"
0.0178242504592886,"2"
0.0937310629256655,"1"
0.196409144620167,"1"
-0.322209769190756,"2"
0.280878395141748,"1"
0.0159547675448465,"1"
-0.0462231639741593,"2"
0.0355608493654619,"2"
0.064896941338124,"2"
-0.0564232278016292,"2"
-0.0213328057790869,"2"
0.210411164535271,"2"
0.295352854205446,"2"
0.413972196538977,"2"
0.388641771386229,"2"
0.269977219749984,"2"
0.352219409889036,"1"
0.281993998919608,"2"
0.232424161029996,"2"
0.377196289259315,"1"
0.451702348535194,"2"
0.391227699244841,"2"
-0.503641119085369,"1"
-0.590880372357802,"1"
-0.549130765811402,"2"
-0.488276894565586,"2"
-0.482407719742214,"1"
-0.413354464997554,"2"
-0.56048334846556,"2"
-0.495364566865154,"2"
-0.613959430993466,"2"
-0.578914811858297,"2"
-0.176802867174972,"2"
-0.384232434258796,"1"
-0.199736332744383,"2"
-0.195395265909723,"1"
0.132455463286945,"1"
0.111857503205949,"2"
0.057739968066147,"2"
0.0123023367057477,"1"
-0.225882935240481,"1"
-0.0747318514065118,"1"
-0.212687527394345,"1"
-0.302948959389457,"1"
-0.265833520418118,"1"
-0.473013776728531,"1"
-0.109478480157021,"1"
-0.290147444112676,"2"
-0.497202445736895,"2"
-0.146944057455452,"1"
0.0789570323291087,"1"
-0.257625450326984,"1"
-0.165060897781472,"2"
-0.0456715463482658,"1"
-0.163984624467033,"2"
-0.127777272642604,"2"
-0.149985688916868,"2"
-0.0891258449780827,"1"
-0.290014541800954,"2"
0.142250747042007,"2"
0.147928199499128,"1"
0.202780440140731,"1"
0.302236295399858,"2"
0.209254553673087,"2"
-0.425970214445652,"2"
-0.405423511762209,"2"
-0.385597586144416,"1"
-0.389771893127246,"2"
-0.497111659518084,"2"
-0.321400855133025,"1"
-0.496910244550612,"1"
-0.436349602587468,"1"
-0.420110181920423,"2"
-0.463154122927331,"1"
-0.363329975710496,"1"
-0.427979090402531,"1"
-0.628372839868628,"1"
-0.374526136692461,"2"
-0.395978295745536,"2"
-0.578338443974785,"1"
-0.594057587416674,"1"
-0.586248790219221,"1"
-0.546361219817059,"1"
-0.499250678819437,"2"
-0.144626527766586,"2"
-0.20902468020141,"2"
-0.164589753052601,"2"
-0.299737863588136,"2"
-0.187206364206283,"2"
-0.207586491614188,"2"
-0.299135365185981,"1"
-0.245117383880162,"1"
-0.0920769100149994,"2"
-0.186860926661057,"1"
0.0456074646477297,"1"
-0.319633773529305,"1"
-0.288947805224108,"2"
-0.437569281346097,"2"
-0.2880567398028,"1"
-0.381777281172696,"2"
