"type","purity","purity_c1","purity_c2","improvement","improvement_c1","improvement_c2"
"NormalClustering",0.515782828282828,0.519487453283502,0.51042471042471,0,0,0
"NN_ 0 _ 1 _KMeansClustering",0.52114898989899,0.507030603804797,0.529862174578867,1.0403916768666,-2.3979115183571,3.80809622989902
"NN_ 0 _ 2 _KMeansClustering",0.515782828282828,0.528859060402685,0.504171632896305,0,1.80401029128758,-1.22507343408241
"NN_ 0 _ 3 _KMeansClustering",0.515782828282828,0.504148053605616,0.527170518425984,0,-2.95279502535267,3.28075966136898
"NN_ 0 _ 4 _KMeansClustering",0.515782828282828,0.510271703114645,0.520795660036166,0,-1.77400822880465,2.03182749573911
"NN_ 0 _ 5 _KMeansClustering",0.515782828282828,0.522433460076046,0.511063140852671,0,0.567098738174043,0.125078275977231
"NN_ 0 _ 6 _KMeansClustering",0.515782828282828,0.518376722817764,0.513963480128894,0,-0.213812760773668,0.69329905702229
"NN_ 0 _ 7 _KMeansClustering",0.515782828282828,0.515129151291513,0.516271373414231,0,-0.838961935354199,1.14545061594986
"NN_ 0 _ 8 _KMeansClustering",0.515782828282828,0.518201284796574,0.513865308432371,0,-0.247584129087064,0.674065721621897
"NN_ 0 _ 9 _KMeansClustering",0.515782828282828,0.514914772727273,0.516477272727273,0,-0.880229258151932,1.18578943749141
"NN_ 0 _ 10 _KMeansClustering",0.515782828282828,0.511240029006526,0.519284516489659,0,-1.58760798260802,1.73577138488781
"NN_ 1 _ 1 _KMeansClustering",0.515782828282828,0.508370044052863,0.519921298573537,0,-2.14007271212608,1.86052672507262
"NN_ 1 _ 2 _KMeansClustering",0.515782828282828,0.511301636788776,0.518832891246684,0,-1.57574864281831,1.64729109901003
"NN_ 1 _ 3 _KMeansClustering",0.515782828282828,0.507299270072993,0.522246941045606,0,-2.34619395203337,2.31615562088654
"NN_ 1 _ 4 _KMeansClustering",0.515782828282828,0.507994186046512,0.521763392857143,0,-2.21242441262938,2.2214211422088
