"type","purity","purity_c1","purity_c2","improvement","improvement_c1","improvement_c2"
"NormalClustering",0.654356060606061,0.688803088803089,0.630539241857982,0,0,0
"NN_ 0 _ 1 _KMeansClustering",0.970643939393939,0.96046942557134,0.981278244028405,48.3357452966715,39.4403482191576,55.6252456448098
"NN_ 0 _ 2 _KMeansClustering",0.954861111111111,0.928104575163399,0.985185185185185,45.9237819585143,34.7416395556728,56.2448646783956
"NN_ 0 _ 3 _KMeansClustering",0.895833333333333,0.84002169197397,0.973564954682779,36.9030390738061,21.9538218729025,54.4019610601902
"NN_ 0 _ 4 _KMeansClustering",0.946969696969697,0.918934911242604,0.979025710419486,44.7178002894356,33.4103935043914,55.2680064026839
"NN_ 0 _ 5 _KMeansClustering",0.911616161616162,0.857848518111965,0.984398216939079,39.3150024119633,24.5419092998873,56.1200559125228
"NN_ 0 _ 6 _KMeansClustering",0.916982323232323,0.863911845730028,0.988174427198817,40.1350699469368,25.4221793969042,56.7189417564255
"NN_ 1 _ 1 _KMeansClustering",0.973484848484849,0.96875,0.978316326530612,48.7698986975398,40.6425168161435,55.1555020822893
"NN_ 1 _ 2 _KMeansClustering",0.968118686868687,0.954072259644825,0.983061889250814,47.9498311625663,38.5116116861041,55.9081218092104
"NN_ 1 _ 3 _KMeansClustering",0.965909090909091,0.95,0.982984293193717,47.6121562952243,37.9204035874439,55.8958155081992
"NN_ 1 _ 4 _KMeansClustering",0.913825757575758,0.85957213384531,0.987360594795539,39.6526772793054,24.7921427499637,56.5898724853552
"NN_ 1 _ 5 _KMeansClustering",0.957070707070707,0.930952380952381,0.986559139784946,46.2614568258562,35.1550822122571,56.4627661995939
"NN_ 1 _ 6 _KMeansClustering",0.905618686868687,0.846735024284943,0.988593155893536,38.3984563434636,22.9284592431616,56.7853497873491
"NN_ 2 _ 1 _KMeansClustering",0.973169191919192,0.965817277812306,0.980756895445799,48.7216594307767,40.2167460501049,55.5425626731567
"NN_ 2 _ 2 _KMeansClustering",0.961174242424242,0.941923774954628,0.982178217821782,46.8885672937772,36.7479023056326,55.7679764589499
"NN_ 2 _ 3 _KMeansClustering",0.95770202020202,0.935174069627851,0.982689747003995,46.3579353593826,35.7679843237743,55.849102128576
"NN_ 2 _ 4 _KMeansClustering",0.912878787878788,0.857768052516411,0.988059701492537,39.5079594790159,24.5302273552413,56.7007469005523
"NN_ 2 _ 5 _KMeansClustering",0.963383838383838,0.944848484848485,0.983530961791831,47.2262421611191,37.1725098518821,55.9825140928112
"NN_ 2 _ 6 _KMeansClustering",0.958333333333333,0.934730538922156,0.984646194926569,46.4544138929089,35.7035928143713,56.1593838355176
"NN_ 3 _ 1 _KMeansClustering",0.96969696969697,0.957564575645756,0.982490272373541,48.1910274963821,39.0186239306339,55.8174665669468
"NN_ 3 _ 2 _KMeansClustering",0.963383838383838,0.944309927360775,0.984168865435356,47.2262421611191,37.0943224139241,56.0836820457597
"NN_ 3 _ 3 _KMeansClustering",0.961174242424242,0.939266386049308,0.985382059800664,46.8885672937772,36.3621042526743,56.2760878921799
"NN_ 3 _ 4 _KMeansClustering",0.954861111111111,0.929636255217651,0.983232729711603,45.9237819585143,34.9640079043562,55.9352161515523
"NN_ 3 _ 5 _KMeansClustering",0.964330808080808,0.94765672550213,0.982295081967213,47.3709599614086,37.5802084669572,55.7865104593218
"NN_ 3 _ 6 _KMeansClustering",0.963699494949495,0.946504559270517,0.982271831910703,47.2744814278823,37.4129376967846,55.7828231302918
"NN_ 4 _ 1 _KMeansClustering",0.970012626262626,0.960990712074303,0.979394719896974,48.2392667631452,39.5160282663927,55.3265292436098
"NN_ 4 _ 2 _KMeansClustering",0.970328282828283,0.962158808933002,0.97879177377892,48.2875060299084,39.6856118350043,55.2309053588415
"NN_ 4 _ 3 _KMeansClustering",0.959280303030303,0.939577039274924,0.980832782551223,46.5991316931983,36.4072046929403,55.5545979439831
"NN_ 4 _ 4 _KMeansClustering",0.888888888888889,0.822513089005236,0.98966613672496,35.8417752050169,19.4119338858498,56.9555185508764
"NN_ 4 _ 5 _KMeansClustering",0.952020202020202,0.925683709869203,0.981830417227456,45.4896285576459,34.3901798520873,55.712817228368
"NN_ 4 _ 6 _KMeansClustering",0.944444444444444,0.909302325581395,0.986187845303867,44.3318861553305,32.0119407654604,56.4038809698682
"NN_ 5 _ 1 _KMeansClustering",0.96969696969697,0.960966542750929,0.978764478764479,48.1910274963821,39.5125193791988,55.2265765220888
"NN_ 5 _ 2 _KMeansClustering",0.960858585858586,0.938175270108043,0.986018641810919,46.840328027014,36.2036967253269,56.3770462414776
"NN_ 5 _ 3 _KMeansClustering",0.944444444444444,0.908826945412311,0.98686030428769,44.3318861553305,31.9429253709577,56.510529206676
"NN_ 5 _ 4 _KMeansClustering",0.939078282828283,0.906487434248977,0.977350720658888,43.511818620357,31.6032766090163,55.0023623873072
"NN_ 5 _ 5 _KMeansClustering",0.93844696969697,0.899827288428325,0.985324947589098,43.4153400868307,30.6363608200314,56.2670302145962
"NN_ 5 _ 6 _KMeansClustering",0.942866161616162,0.908086096567772,0.984126984126984,44.0906898215147,31.8353694008144,56.0770399043049
"NN_ 6 _ 1 _KMeansClustering",0.96969696969697,0.959259259259259,0.98062015503876,48.1910274963821,39.2646570337153,55.520876408772
"NN_ 6 _ 2 _KMeansClustering",0.974431818181818,0.968224299065421,0.980806142034549,48.9146164978292,40.5661958844977,55.5503729069187
"NN_ 6 _ 3 _KMeansClustering",0.974116161616162,0.971141781681305,0.97712833545108,48.8663772310661,40.9897541790684,54.967093336145
"NN_ 6 _ 4 _KMeansClustering",0.962121212121212,0.941495778045838,0.98476821192053,47.0332850940666,36.6857659831122,56.1787350488698
"NN_ 6 _ 5 _KMeansClustering",0.961489898989899,0.940892641737033,0.984105960264901,46.9368065605403,36.5982030324504,56.07370563727
"NN_ 6 _ 6 _KMeansClustering",0.964015151515151,0.947080291970803,0.982283464566929,47.3227206946454,37.4965222087657,55.7846680045604
